building_id,latitude,longitude,CO2_Usage,Water_Usage,Energy_Consumption
1,52.15263064705426,-0.5144203361310837,1524,5071,1665
2,50.49557291965496,-0.1561218490772327,1745,5614,1564
3,51.11231815027833,-1.1775247231435761,1290,4054,1522
4,52.64542370224939,-2.253807849049787,1737,4007,1646
5,51.16632744696445,-3.178791843285576,1626,5796,2145
6,51.839477724812134,-2.4861461379161893,1326,5068,2400
7,51.28656598221812,-0.08125866348722877,1962,5902,2478
8,50.893062511529,-2.6063252054814687,1662,4766,2070
9,52.0407689323243,-2.7946955576620938,1729,4980,2329
10,50.79947267590475,-0.005399864072111349,1646,5572,2032
11,49.97142043039309,-0.9538679695997283,1640,5322,1791
12,51.1252399683676,-1.688755132472548,1718,4365,2230
13,50.078174939982084,-3.110451756808244,1738,4248,1806
14,51.72436306037698,-0.9374823362161315,1668,5009,2018
15,51.027583400912384,-3.126299918839509,1849,4583,2030
16,50.589859887564295,-0.9592471049849842,1168,5949,1585
17,50.829930487853716,-1.091952811807328,1753,4929,1585
18,51.01329416597745,-1.7721795795956132,1036,4549,1679
19,50.07566783067167,-0.7440159759026441,1726,4029,1521
20,51.12648323247022,-1.0096348558619326,1047,4977,1829
21,51.19382428269259,-3.1528456423041504,1705,4330,1878
22,51.00069447368386,-0.5872382809699634,1555,5191,2196
23,51.35665325242158,-0.9252410307846333,1125,5646,1695
24,50.920645009032015,-2.711425045445419,1402,5186,2364
25,50.37850833672275,-1.5585024492654207,1451,4063,2167
26,50.863419467586304,-2.853091703399744,1862,4246,2331
27,50.7039920353882,-0.4859905329999603,1033,4737,1811
28,50.38876052290144,-2.0450592038083615,1257,4755,1937
29,51.812816108333934,-2.2990787659095613,1132,4895,1773
30,51.863010474411034,-1.4041027633370418,1336,5253,2065
31,52.641504002048876,-0.37466050797851125,1873,4050,1882
32,50.928113094436,-2.829764496026822,1493,5196,1607
33,50.850198614051486,-3.323607729878328,1300,5882,1700
34,52.4663236805662,-0.4084399169241424,1945,5000,2227
35,50.17041496842267,-2.1072672662271756,1713,4534,1529
36,52.210902985140564,-0.3139043091037017,1091,4217,1531
37,49.992116111755806,-2.808230002976796,1467,5583,2410
38,51.94627466966257,-2.615103606294558,1280,4047,1901
39,51.68656120369517,-1.023310250092575,1606,5891,1750
40,52.00271089281343,-1.2744320062685635,1088,5841,1583
41,50.543030159410655,-2.13993937873646,1278,5902,1708
42,52.04598368672785,-0.09976714999387637,1451,5863,1570
43,50.31523174199115,-0.5881180979071985,1704,4874,1952
44,51.24482127630143,-0.3248220587974133,1763,4517,2405
45,50.74933391923374,-0.34901363651808337,1652,5492,2352
46,52.66135754004646,-3.2157380416400487,1195,4451,1784
47,51.250516357566156,-0.5471335491718041,1515,4284,2373
48,50.00532688689972,-3.038284837585937,1277,5942,2242
49,52.04020359808268,-1.8647843043704802,1602,5781,1931
50,51.317526652525984,-2.9832398181974935,1134,4675,2079
51,50.69355816176835,-0.9376185492298541,1105,5716,2130
52,51.36277554503481,-1.0216263418823783,1528,5145,2062
53,50.898288350377975,-0.27307918346800797,1090,4081,2165
54,52.02868481647216,-3.1772185948745477,1499,4864,1808
55,49.95770093314831,-0.735913230548372,1051,5843,1531
56,51.03640467493294,-2.7623821642055493,1930,5404,1726
57,51.99785994436719,-3.249151206371503,1907,4808,2244
58,50.49232049890105,-2.962869712187457,1295,4919,1705
59,51.7504933222554,-1.9790923156870552,1052,4708,1631
60,52.529848719010445,-1.9995512242671807,1068,5977,2497
61,51.322301137395876,-1.8115873633745707,1592,4105,1504
62,50.875847961994076,-1.0094641233145207,1961,4476,2290
63,50.589228026974396,-2.8319166997179703,1224,4018,2482
64,51.80692187092335,-2.70665764178207,1150,4686,2494
65,51.35196470138402,-1.744144874453046,1912,5437,2065
66,52.75105336038639,-1.120015723158828,1519,4982,1772
67,50.0684318239969,-1.4698391044590926,1701,4127,2466
68,52.426588491733874,-1.8768738657399586,1601,4655,2412
69,52.470870572568934,-0.9266655574971874,1783,4671,1826
70,51.976093161893864,-1.1302135942794758,1054,5900,1545
71,50.91256228406215,-1.0490803890819427,1049,5965,2393
72,52.36173953886808,-2.680914138352968,1532,4721,1730
73,52.46699818860498,-2.806743528972925,1141,4649,2227
74,50.04960133708408,-3.2645461565310763,1261,4101,1901
75,51.039335044368116,-2.332591486986966,1469,4030,2081
76,51.92631755662602,-2.692443214440454,1960,4171,1913
77,52.503197682654516,-0.4839316924711663,1453,4424,2389
78,52.6242943775514,-0.3793332677067518,1012,5068,2089
79,50.90972261824623,-3.1713307462143367,1005,4894,1668
80,52.46538746569943,-1.6957963070532867,1163,5473,1797
81,50.52730461987387,-3.043856094072211,1259,5192,2481
82,50.55969275240748,-0.7130090776003524,1987,5066,1808
83,51.74429848137743,-0.6260359020245199,1437,4162,1972
84,51.947363632358396,-0.023000553191857787,1110,4909,2130
85,52.41576957313738,-1.6594308467265075,1261,4851,2389
