building_id,CO2_Usage,Water_Usage,Energy_Consumption,height,latitude,longitude,polygon
0,253.17497704540062,8813.176908175163,3693.567354293028,77.71828839489453,45.75632234947003,4.81805610825113,"[[[4.8184412, 45.7563273], [4.8183555, 45.7563113], [4.8183354, 45.7562808], [4.8183977, 45.7562676], [4.8183572, 45.7561602], [4.8182068, 45.7561813], [4.8175864, 45.7562974], [4.8176464, 45.7563472], [4.8177175, 45.7564095], [4.8177509, 45.7564388], [4.8177987, 45.7564807], [4.8178356, 45.7565085], [4.8178621, 45.7565305], [4.8179249, 45.756491], [4.8178175, 45.7564077], [4.8177675, 45.7564314], [4.8177365, 45.7563845], [4.8180553, 45.7563287], [4.8180849, 45.7563804], [4.8179963, 45.7564157], [4.8179883, 45.7563873], [4.8179259, 45.7563994], [4.8179593, 45.7564605], [4.8179806, 45.7564815], [4.8180324, 45.7564613], [4.8180361, 45.7564672], [4.818148, 45.756423], [4.81815, 45.7564301], [4.8181996, 45.7563981], [4.818324, 45.756368], [4.8183429, 45.7564104], [4.8183936, 45.7564033], [4.8184118, 45.756391], [4.8184261, 45.7564074], [4.8184789, 45.7563705], [4.8184412, 45.7563273]]]"
1,468.7341365121551,9638.204338136353,1300.9936068573334,28.736683466979503,45.75652675673081,4.821937713369834,"[[[4.8218574, 45.7569699], [4.8218618, 45.7569732], [4.8218738, 45.7569658], [4.8218704, 45.7569633], [4.8219277, 45.7569272], [4.821936, 45.7569337], [4.8219451, 45.7569276], [4.8219369, 45.7569213], [4.8219968, 45.7568839], [4.8220055, 45.756891], [4.8220149, 45.7568844], [4.8220071, 45.7568775], [4.8220634, 45.7568421], [4.8220667, 45.7568401], [4.8220698, 45.7568423], [4.8220764, 45.7568385], [4.8220735, 45.7568362], [4.8220768, 45.7568341], [4.8221482, 45.7567901], [4.8221651, 45.7567797], [4.8222365, 45.7567358], [4.822238, 45.756735], [4.8222409, 45.7567373], [4.8222502, 45.7567316], [4.8223421, 45.7566737], [4.8223555, 45.7566844], [4.8224157, 45.7567318], [4.8225202, 45.7566693], [4.8226303, 45.7567563], [4.8229253, 45.756572], [4.8227488, 45.7564333], [4.8226284, 45.7565084], [4.8226173, 45.7564997], [4.822471, 45.7563848], [4.8223904, 45.7564351], [4.8223814, 45.7564407], [4.8223998, 45.7564551], [4.8221181, 45.7566307], [4.8220957, 45.7566131], [4.8220701, 45.7566291], [4.8218521, 45.7564579], [4.821857, 45.7564549], [4.8217918, 45.7564037], [4.8217247, 45.756351], [4.8217211, 45.7563533], [4.8215049, 45.7561834], [4.8215294, 45.7561681], [4.8215062, 45.7561498], [4.8217895, 45.7559733], [4.8218082, 45.755988], [4.8218136, 45.7559847], [4.8218961, 45.7559334], [4.8217558, 45.7558234], [4.8216679, 45.755878], [4.8216862, 45.7558923], [4.8215696, 45.7559651], [4.8215321, 45.7559356], [4.821485, 45.755965], [4.8215225, 45.7559944], [4.8214031, 45.7560688], [4.8213809, 45.7560514], [4.8213564, 45.7560667], [4.8212279, 45.7561468], [4.821203, 45.7561624], [4.8212252, 45.7561799], [4.8213289, 45.7562613], [4.821352, 45.7562795], [4.821378, 45.7562633], [4.8215933, 45.7564325], [4.8215897, 45.7564347], [4.8215815, 45.7564283], [4.8215594, 45.756442], [4.8215676, 45.7564484], [4.8216193, 45.7564891], [4.821426, 45.7566096], [4.8213751, 45.7565701], [4.821265, 45.7566398], [4.8213011, 45.7566677], [4.8212987, 45.7566692], [4.8213253, 45.7566901], [4.8213577, 45.7567156], [4.8213606, 45.7567138], [4.8213997, 45.7567441], [4.8214044, 45.7567411], [4.8216467, 45.7569315], [4.8215752, 45.7569752], [4.8216935, 45.7570715], [4.8218574, 45.7569699]]]"
2,175.21569793468694,3059.229085863901,2989.4114871092643,10.03871244144155,45.75637874711457,4.8204029074907515,"[[[4.8204736, 45.756442], [4.8204916, 45.7564274], [4.8205633, 45.7563763], [4.8205937, 45.7563517], [4.8205437, 45.7563237], [4.8205577, 45.7563133], [4.8204307, 45.756244], [4.8203249, 45.7563406], [4.8203026, 45.7563284], [4.8202115, 45.7564108], [4.8203902, 45.7565042], [4.8204736, 45.756442]]]"
3,385.39390774393223,7780.378711385443,1930.6249574289102,37.91547702100804,45.75605726204737,4.819738058019481,"[[[4.8195713, 45.7561658], [4.8197036, 45.7562132], [4.8198024, 45.7560678], [4.8198665, 45.7560881], [4.8198832, 45.7560452], [4.819892, 45.7560216], [4.8198003, 45.755995], [4.8198167, 45.7559721], [4.8198355, 45.7559786], [4.8198515, 45.7559479], [4.8198401, 45.7559421], [4.819852, 45.7559314], [4.8197413, 45.7558948], [4.8196793, 45.7560231], [4.8196713, 45.7560418], [4.8196185, 45.7561187], [4.8195713, 45.7561658]]]"
4,343.9394269433529,8098.218124176368,1311.117217229516,86.4767362403667,45.77112469044215,4.833831508008024,"[[[4.8338821, 45.7712223], [4.8339118, 45.7710357], [4.833857, 45.7710312], [4.8337789, 45.7710248], [4.8337573, 45.7711673], [4.8337533, 45.7711913], [4.8337491, 45.7712198], [4.833881, 45.7712271], [4.8338821, 45.7712223]]]"
5,271.6130930154704,5912.775293991313,3052.5682178265565,13.550568255752598,45.77113746669357,4.8339820721270055,"[[[4.8338821, 45.7712223], [4.8340615, 45.7712349], [4.834084, 45.7711212], [4.8340577, 45.7711186], [4.8340686, 45.7710484], [4.8340438, 45.7710465], [4.8339118, 45.7710357], [4.8338821, 45.7712223]]]"
6,291.2829664273369,3003.3312110742463,1064.5783507380697,13.99008130287825,45.77195695872163,4.834396913667299,"[[[4.8344983, 45.7720054], [4.8345044, 45.7719296], [4.8344883, 45.7719263], [4.8345063, 45.7718766], [4.8344772, 45.7718725], [4.8344881, 45.7718376], [4.8344378, 45.7718289], [4.8344258, 45.7718645], [4.8343146, 45.7718472], [4.834291, 45.7719254], [4.834343, 45.7719347], [4.8343326, 45.7719622], [4.8342827, 45.7719533], [4.8342605, 45.7720276], [4.834465, 45.7720799], [4.8344983, 45.7720054]]]"
7,74.97819366110292,3039.9200764744573,1117.3389907014853,67.8711404651632,45.757969690781444,4.855881841036139,"[[[4.8558596, 45.7584228], [4.8559095, 45.7581233], [4.8561276, 45.7581402], [4.8562204, 45.7576571], [4.8557487, 45.7576124], [4.8557013, 45.7576091], [4.8556777, 45.7577305], [4.8556098, 45.7580855], [4.8556918, 45.7580932], [4.8556383, 45.7584034], [4.8558596, 45.7584228]]]"
8,122.8317590055792,9594.800252028466,2863.5696435156888,22.492250096584897,45.75880033321437,4.836483636028379,"[[[4.8358321, 45.7580258], [4.8358423, 45.7580488], [4.8358781, 45.7581291], [4.8358852, 45.7581316], [4.8358857, 45.7581391], [4.8357203, 45.7581732], [4.8358939, 45.7585529], [4.8360404, 45.7585272], [4.8360188, 45.758469], [4.8362453, 45.7584242], [4.8362512, 45.7584394], [4.8363027, 45.7585713], [4.8363363, 45.7586576], [4.8363271, 45.7586594], [4.8363269, 45.7586642], [4.8363075, 45.7586679], [4.8363113, 45.758677], [4.8362817, 45.7586832], [4.8362784, 45.7586744], [4.8362441, 45.7586814], [4.8362478, 45.7586902], [4.8361831, 45.7587034], [4.8362224, 45.758797], [4.8362099, 45.7587998], [4.836213, 45.7588074], [4.8361811, 45.7588138], [4.8361594, 45.7588182], [4.8361172, 45.7587149], [4.8360943, 45.7586587], [4.8359518, 45.7586816], [4.8361119, 45.7590387], [4.8361202, 45.7590368], [4.8361414, 45.7590834], [4.8364534, 45.7589441], [4.836566, 45.759118], [4.8362045, 45.7592811], [4.8361177, 45.7593275], [4.836116, 45.7593284], [4.8361081, 45.7593326], [4.8361142, 45.7593395], [4.8361154, 45.7593418], [4.836115, 45.7593476], [4.8361099, 45.7593459], [4.8361073, 45.7593501], [4.8361054, 45.7593532], [4.8361031, 45.7593524], [4.8361024, 45.7593535], [4.8360972, 45.759352], [4.8360936, 45.7593581], [4.8360982, 45.7593597], [4.8360926, 45.7593684], [4.8360855, 45.7593795], [4.8360805, 45.7593779], [4.8360765, 45.7593842], [4.8360816, 45.7593856], [4.836081, 45.7593868], [4.836083, 45.7593875], [4.8360781, 45.7593953], [4.8360829, 45.7593968], [4.836078, 45.7594006], [4.836075, 45.7594017], [4.8360722, 45.7594021], [4.836063, 45.7594022], [4.8360621, 45.7594045], [4.8360614, 45.7594063], [4.8360612, 45.7594067], [4.8358791, 45.7598567], [4.836039, 45.7598408], [4.8361744, 45.7598277], [4.8362108, 45.7599441], [4.836302, 45.7599417], [4.8368453, 45.7599276], [4.8370195, 45.7599224], [4.8371949, 45.7599172], [4.837194, 45.7598948], [4.8373209, 45.7598919], [4.837319, 45.7598823], [4.8374227, 45.7598684], [4.8373695, 45.759675], [4.837372, 45.7596744], [4.8373699, 45.7596679], [4.8373724, 45.7596675], [4.8373742, 45.7596618], [4.8373758, 45.7596589], [4.8373783, 45.7596577], [4.8373871, 45.7596551], [4.8373866, 45.7596534], [4.8373958, 45.7596514], [4.8373848, 45.7596237], [4.8373302, 45.7594865], [4.8373208, 45.7594884], [4.8371098, 45.7589671], [4.837119, 45.7589653], [4.8370956, 45.7589067], [4.8371103, 45.7589036], [4.8370805, 45.7588307], [4.8370756, 45.7588315], [4.8370509, 45.7587693], [4.8370559, 45.7587684], [4.8370268, 45.7586951], [4.8370118, 45.7586979], [4.8369879, 45.7586395], [4.8369812, 45.7586408], [4.8369785, 45.7586345], [4.8369756, 45.7586351], [4.8367674, 45.7581166], [4.8367763, 45.7581149], [4.836746, 45.7580401], [4.8367127, 45.7579578], [4.8367093, 45.7579493], [4.8367002, 45.7579515], [4.8366992, 45.7579497], [4.8366937, 45.7579502], [4.8366915, 45.7579506], [4.8366909, 45.7579502], [4.8366895, 45.7579504], [4.8366888, 45.75795], [4.8366877, 45.75795], [4.8366848, 45.7579481], [4.8366805, 45.7579437], [4.8366778, 45.7579443], [4.836675, 45.7579381], [4.8366724, 45.7579387], [4.8364354, 45.7574871], [4.8364324, 45.7574814], [4.8364343, 45.7574809], [4.8364288, 45.7574713], [4.8364286, 45.757471], [4.8364274, 45.7574688], [4.8363569, 45.7574468], [4.8363395, 45.7574517], [4.8363401, 45.757453], [4.836272, 45.7574718], [4.8362675, 45.7574638], [4.8360995, 45.7575105], [4.8361037, 45.7575184], [4.8359305, 45.7575662], [4.8358667, 45.7575838], [4.8356475, 45.7576442], [4.8356449, 45.7576371], [4.8354967, 45.7576769], [4.8355477, 45.7577884], [4.8356018, 45.7579042], [4.8356091, 45.7579198], [4.8356368, 45.7579822], [4.8356483, 45.7580071], [4.835673, 45.758061], [4.8358321, 45.7580258]]]"
9,337.8580100087237,2290.7400984330734,2767.714024721834,62.464933383125675,45.739530725839884,4.831795393255781,"[[[4.831222, 45.7394289], [4.8312146, 45.7394324], [4.831244, 45.7394818], [4.8312678, 45.7395143], [4.8312941, 45.7395417], [4.8313286, 45.7395721], [4.8313538, 45.7395912], [4.8313613, 45.7395891], [4.8317093, 45.7399875], [4.83173, 45.7399799], [4.8318342, 45.7400959], [4.8319554, 45.7400448], [4.8318731, 45.739948], [4.8322478, 45.7397892], [4.8322279, 45.7397661], [4.8324505, 45.7396696], [4.8325996, 45.7398348], [4.8327993, 45.7397501], [4.8325316, 45.739439], [4.8321619, 45.7395975], [4.8317961, 45.7391824], [4.8314229, 45.7393414], [4.8313693, 45.7392842], [4.8313759, 45.7392813], [4.8312638, 45.7391529], [4.8316245, 45.7389992], [4.8315437, 45.7389042], [4.8309731, 45.739145], [4.831222, 45.7394289]]]"
10,402.2915256434112,9924.91077633658,2639.2170086307283,12.213106382246771,45.747922795636065,4.834208634567232,"[[[4.834407, 45.7479467], [4.8343698, 45.7478926], [4.8342898, 45.7477733], [4.8339861, 45.7478715], [4.8341466, 45.7480766], [4.8342998, 45.7480191], [4.8344229, 45.7479713], [4.834407, 45.7479467]]]"
11,151.9311251947667,4181.897545185364,4423.847904554052,25.69239040437749,45.75439970000674,4.839666725277817,"[[[4.8397576, 45.7545262], [4.8398562, 45.7544912], [4.8396965, 45.7542627], [4.8395781, 45.7543075], [4.8395513, 45.7543168], [4.8395032, 45.7543348], [4.8394501, 45.7543913], [4.8397576, 45.7545262]]]"
12,127.8572322953787,7633.877980199207,3763.372419033785,69.88616314298278,45.753279505087626,4.840295475110912,"[[[4.840242, 45.7533899], [4.8404536, 45.7533175], [4.8403622, 45.7531858], [4.8403505, 45.7531679], [4.8401392, 45.7532417], [4.840242, 45.7533899]]]"
13,276.64442947475095,7012.698136541822,1419.993995956459,96.30043426467591,45.75408425088469,4.841633415386015,"[[[4.8415783, 45.7541523], [4.8416085, 45.7541961], [4.8417701, 45.7541403], [4.8417169, 45.7540618], [4.8416588, 45.7539766], [4.8414964, 45.7540316], [4.8415783, 45.7541523]]]"
14,140.36935128745128,3502.142105479468,1038.7282700307014,62.84084356700862,45.75422454512294,4.841145255986311,"[[[4.8410981, 45.7543195], [4.841147, 45.7543033], [4.8412248, 45.7542773], [4.8412851, 45.7542606], [4.8412675, 45.7542353], [4.8412139, 45.7542522], [4.8412005, 45.7542352], [4.8412549, 45.7542157], [4.8411994, 45.7541319], [4.8411176, 45.7541601], [4.8410141, 45.7541943], [4.8410955, 45.7543163], [4.8410981, 45.7543195]]]"
15,310.1928655935724,5545.0107032877595,4442.022862493265,47.80564565207847,45.75496322248503,4.842210305095508,"[[[4.8423813, 45.7550156], [4.8423571, 45.754981], [4.8423506, 45.7549718], [4.8423214, 45.7549301], [4.8422516, 45.7548293], [4.8420546, 45.7549], [4.8420769, 45.7549296], [4.842048, 45.7549396], [4.8420687, 45.7549692], [4.8421545, 45.755093], [4.8423813, 45.7550156]]]"
16,333.38525224529207,9455.640407257353,2992.912567813922,95.44862901071522,45.76539070594345,4.845168943672367,"[[[4.8447908, 45.7656573], [4.8447899, 45.7656598], [4.8448473, 45.7656656], [4.8448482, 45.7656629], [4.8450785, 45.7656845], [4.8450774, 45.7656875], [4.8451426, 45.765693], [4.8451434, 45.7656901], [4.8453737, 45.7657123], [4.8453734, 45.7657144], [4.8454295, 45.7657193], [4.84543, 45.7657176], [4.8455175, 45.7657253], [4.8456316, 45.7651307], [4.8454866, 45.7651173], [4.8454871, 45.7651158], [4.84543, 45.7651106], [4.8454296, 45.7651122], [4.8450259, 45.7650746], [4.845026, 45.7650731], [4.845001, 45.7650706], [4.844972, 45.7650678], [4.8449711, 45.7650696], [4.8448268, 45.765056], [4.8447019, 45.7656467], [4.8447011, 45.7656503], [4.8447908, 45.7656573]]]"
17,492.8944638579174,1319.2994177029918,2283.9334506463556,37.17082833679255,45.76473883215247,4.836405526178219,"[[[4.8365515, 45.7647824], [4.8365474, 45.7647135], [4.8365372, 45.7646045], [4.8362807, 45.7646107], [4.8362923, 45.7648048], [4.8362754, 45.7649137], [4.836331, 45.7649165], [4.8363869, 45.7649194], [4.8364205, 45.7648084], [4.8365847, 45.7648218], [4.8365841, 45.7647819], [4.8365515, 45.7647824]]]"
18,314.8950291288414,1008.4302560229171,2917.709396429154,44.487943857248155,45.764682528286905,4.837828049265777,"[[[4.8379821, 45.7647481], [4.837984, 45.7646976], [4.8379849, 45.7646737], [4.8379867, 45.7646252], [4.8378105, 45.7646222], [4.8377746, 45.7646214], [4.8376594, 45.7646195], [4.8376627, 45.7646764], [4.837666, 45.7647339], [4.8379821, 45.7647481]]]"
19,109.79863933993745,7507.20074913994,3318.2337523003084,26.009089905356532,45.76572761572123,4.837463340859646,"[[[4.8370205, 45.7654262], [4.8370092, 45.7655182], [4.8369748, 45.7655158], [4.8369064, 45.7660863], [4.8372001, 45.7660995], [4.8379591, 45.7661469], [4.8379975, 45.7654318], [4.8378777, 45.7654251], [4.8375199, 45.7654051], [4.8375209, 45.7653993], [4.8371226, 45.765375], [4.8371217, 45.7653828], [4.8371095, 45.7653821], [4.8369925, 45.7653755], [4.8369863, 45.7654238], [4.8370205, 45.7654262]]]"
