building_id,latitude,longitude,Energy_Consumption,CO2_Usage,Water_Usage,log1p_Energy_Consumption,log1p_CO2_Usage,city,year,PC1,PC2,cluster
0,45.75632234947003,4.81805610825113,3693.567354293028,253.17497704540065,1108.0702062879084,8.214618737025582,5.538022915851004,lyon,2024,-0.4500694521652401,0.605594341657219,3
1,45.75652675673081,4.821937713369834,1300.9936068573334,468.7341365121551,390.2980820572,7.1716519125086355,6.152166867658755,lyon,2024,1.5495790333277446,0.08981932223996032,1
2,45.75637874711457,4.820402907490752,2989.4114871092643,175.21569793468694,896.8234461327793,8.003166278022594,5.171708801103962,lyon,2024,-0.6376170997670605,-0.09193355943303334,3
3,45.75605726204737,4.819738058019481,1930.6249574289104,385.3939077439322,579.1874872286731,7.566116874514855,5.956857335505817,lyon,2024,0.8379443871486503,0.3295538030256982,2
4,45.77112469044215,4.833831508008024,1311.117217229516,343.9394269433529,393.33516516885476,7.179397307913786,5.843368827539189,lyon,2024,1.1671852804485874,-0.2738941148334016,1
5,45.77113746669357,4.8339820721270055,3052.5682178265565,271.6130930154704,915.7704653479669,8.02406609327709,5.6080535482464775,lyon,2024,-0.1356795726193598,0.4604100643455778,2
6,45.77195695872163,4.834396913667299,1064.5783507380695,291.2829664273369,319.3735052214208,6.9712729830801825,5.67772239613707,lyon,2024,1.218047414934423,-0.7249854522353086,1
7,45.75796969078144,4.855881841036139,1117.3389907014853,74.97819366110292,335.20169721044556,7.019599819474342,4.330446373603527,lyon,2024,-0.46785079077077973,-2.2943291738224323,0
8,45.75880033321437,4.836483636028379,2863.5696435156888,122.8317590055792,859.0708930547066,7.960173406178566,4.818923862129584,lyon,2024,-1.01196548568944,-0.5699719936272196,3
9,45.73953072583989,4.831795393255781,2767.714024721834,337.8580100087237,830.3142074165502,7.926138240380575,5.8255811701066955,lyon,2024,0.24520281721125078,0.6051104230982783,2
10,45.74792279563607,4.834208634567232,2639.2170086307283,402.2915256434112,791.7651025892185,7.878616393001019,5.999659689120523,lyon,2024,0.512810585822787,0.7581051771005932,2
11,45.75439970000674,4.839666725277817,4423.847904554052,151.9311251947667,1327.1543713662154,8.394991184999112,5.02998765791334,lyon,2024,-1.28132889854989,0.20935649385597993,3
12,45.753279505087626,4.840295475110912,3763.372419033785,127.8572322953787,1129.0117257101354,8.233336438168338,4.858705065095374,lyon,2024,-1.293313291241433,-0.19250621547978625,3
13,45.75408425088469,4.841633415386015,1419.993995956459,276.6444294747509,425.9981987869377,7.259111902864007,5.626341264366417,lyon,2024,0.8088703367654815,-0.4399536951543415,1
14,45.75422454512294,4.841145255986311,1038.7282700307014,140.36935128745128,311.6184810092104,6.946714679179529,4.951375978111614,lyon,2024,0.37017562747354665,-1.6320868656251133,1
15,45.75496322248503,4.842210305095508,4442.022862493265,310.1928655935724,1332.6068587479795,8.399090248656018,5.740412866570918,lyon,2024,-0.4280194902439321,1.0725520086308244,2
