building_id,latitude,longitude,Energy_Consumption,CO2_Usage,Water_Usage,log1p_Energy_Consumption,log1p_CO2_Usage,city,year
0,45.75632234947003,4.81805610825113,3693.567354293028,253.17497704540065,1108.0702062879084,8.214618737025582,5.538022915851004,lyon,2024
1,45.75652675673081,4.821937713369834,1300.9936068573334,468.7341365121551,390.2980820572,7.1716519125086355,6.152166867658755,lyon,2024
2,45.75637874711457,4.820402907490752,2989.4114871092643,175.21569793468694,896.8234461327793,8.003166278022594,5.171708801103962,lyon,2024
3,45.75605726204737,4.819738058019481,1930.6249574289104,385.3939077439322,579.1874872286731,7.566116874514855,5.956857335505817,lyon,2024
4,45.77112469044215,4.833831508008024,1311.117217229516,343.9394269433529,393.33516516885476,7.179397307913786,5.843368827539189,lyon,2024
5,45.77113746669357,4.8339820721270055,3052.5682178265565,271.6130930154704,915.7704653479669,8.02406609327709,5.6080535482464775,lyon,2024
6,45.77195695872163,4.834396913667299,1064.5783507380695,291.2829664273369,319.3735052214208,6.9712729830801825,5.67772239613707,lyon,2024
7,45.75796969078144,4.855881841036139,1117.3389907014853,74.97819366110292,335.20169721044556,7.019599819474342,4.330446373603527,lyon,2024
8,45.75880033321437,4.836483636028379,2863.5696435156888,122.8317590055792,859.0708930547066,7.960173406178566,4.818923862129584,lyon,2024
9,45.73953072583989,4.831795393255781,2767.714024721834,337.8580100087237,830.3142074165502,7.926138240380575,5.8255811701066955,lyon,2024
10,45.74792279563607,4.834208634567232,2639.2170086307283,402.2915256434112,791.7651025892185,7.878616393001019,5.999659689120523,lyon,2024
11,45.75439970000674,4.839666725277817,4423.847904554052,151.9311251947667,1327.1543713662154,8.394991184999112,5.02998765791334,lyon,2024
12,45.753279505087626,4.840295475110912,3763.372419033785,127.8572322953787,1129.0117257101354,8.233336438168338,4.858705065095374,lyon,2024
13,45.75408425088469,4.841633415386015,1419.993995956459,276.6444294747509,425.9981987869377,7.259111902864007,5.626341264366417,lyon,2024
14,45.75422454512294,4.841145255986311,1038.7282700307014,140.36935128745128,311.6184810092104,6.946714679179529,4.951375978111614,lyon,2024
15,45.75496322248503,4.842210305095508,4442.022862493265,310.1928655935724,1332.6068587479795,8.399090248656018,5.740412866570918,lyon,2024
16,45.76539070594345,4.845168943672367,2992.912567813922,333.38525224529207,897.8737703441766,8.004336362086214,5.812293778100734,lyon,2024
17,45.76473883215247,4.836405526178219,2283.933450646356,492.8944638579174,685.1800351939067,7.734092178460572,6.2023218584493724,lyon,2024
18,45.764682528286905,4.837828049265777,2917.709396429154,314.8950291288414,875.3128189287462,7.978896810032788,5.755409972099686,lyon,2024
19,45.76572761572123,4.837463340859646,3318.2337523003084,109.79863933993744,995.4701256900925,8.107489237772786,4.707714493912305,lyon,2024
20,45.76511853406754,4.8361389548498535,525.3081027426822,125.96239002050544,157.59243082280466,6.265886787914187,4.8438909010291935,lyon,2024
21,45.76503257037468,4.834798787748944,3830.479447844204,493.57182624272167,1149.1438343532611,8.251006286398736,6.203692390753035,lyon,2024
22,45.76441515414128,4.833491922767723,2779.922051769392,95.97190450213694,833.9766155308176,7.930537824991596,4.574421292240502,lyon,2024
23,45.76475499614183,4.834650194840563,1484.2941239786276,307.7180117749338,445.28823719358826,7.3033680949101285,5.732428276987498,lyon,2024
24,45.76411379341168,4.833567054098085,2380.7283148248084,420.0223655400037,714.2184944474425,7.775581685821942,6.042685957069418,lyon,2024
25,45.76432476127011,4.835115695361841,889.3483625042113,80.14477957018215,266.80450875126337,6.791612804685989,4.3962349612712375,lyon,2024
26,45.77305960878404,4.84231261430664,1490.8741863116,373.7200565081761,447.26225589347996,7.3077884516796905,5.926179231210409,lyon,2024
27,45.77479710499936,4.844478802324391,2083.018608638966,119.9582683470444,624.9055825916897,7.642053332122723,4.795445596414765,lyon,2024
28,45.77168539500077,4.842871971372169,1125.401655981138,302.9792157048968,337.62049679434136,7.026783455556407,5.716959329677142,lyon,2024
29,45.77493919496451,4.843046719648432,3069.06822618303,355.1952094775294,920.7204678549091,8.029455063846692,5.87547892179693,lyon,2024
30,45.77236126430933,4.852041494959216,577.4071333849467,115.48576202566926,173.22214001548403,6.360278003730031,4.757769051165033,lyon,2024
31,45.77381310355409,4.842526267528394,3033.9734681558034,112.57670446915338,910.192040446741,8.017957961496839,4.73247841896542,lyon,2024
32,45.771551410108415,4.84500895256336,3879.094889198405,377.911116121154,1163.7284667595213,8.263614888297246,5.937301655470043,lyon,2024
33,45.76944843684658,4.841476277739408,1903.8210743057004,458.9259441066045,571.1463222917101,7.552143358900667,6.131065485450088,lyon,2024
34,45.77035921857126,4.843925575910759,3617.2477656823703,235.27638733936723,1085.174329704711,8.193745145004186,5.465002252578482,lyon,2024
35,45.77055814798918,4.84520335475352,505.7832592774498,462.5356419155192,151.73497778323494,6.228083415694325,6.138883279386072,lyon,2024
36,45.77001249677486,4.842901473527233,2109.3797176523626,447.0528827947281,632.8139152957087,7.654623171251763,6.1049112674011,lyon,2024
37,45.76917998064892,4.845590309445971,3729.330938435565,161.9726633846751,1118.7992815306693,8.22425223214334,5.093582477445514,lyon,2024
38,45.77087610749484,4.843756257232683,4350.088660828886,435.4475648017287,1305.0265982486656,8.37818135962842,6.078668241607375,lyon,2024
39,45.770351115132016,4.842144190162257,2196.0069940573467,84.23339654336928,658.8020982172039,7.694851255837598,4.445393335240441,lyon,2024
40,45.77094493610448,4.842930180220909,1226.5897473185455,345.80333681321633,367.97692419556364,7.112807970901113,5.848757866582176,lyon,2024
41,45.771839892750975,4.854582813496872,1398.6132809683502,363.7486958473271,419.58398429050504,7.243951249565653,5.89920861192653,lyon,2024
42,45.7697571864147,4.84236481322051,660.6568459663725,299.04061830604104,198.19705378991176,6.494747061974829,5.703917859844683,lyon,2024
43,45.769836017862126,4.850112422706098,3372.8231238003345,102.28481131048434,1011.8469371401003,8.123801838436073,4.637490330566467,lyon,2024
44,45.76985606425693,4.841405135401287,535.3152145139152,452.0707738198881,160.59456435417454,6.28472207499523,6.1160483468778235,lyon,2024
45,45.77012344885884,4.852025475272655,4413.712247008018,345.1676374346992,1324.1136741024052,8.392697934698374,5.846923158981244,lyon,2024
